Minuartia dirphya;;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61636/0
Coregonus bavaricus;Ammersee Kilch;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/135698/0
Iberochondrostoma lusitanicus;;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/60791/0
Anthemis glaberrima;;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61617/0
Cobitis calderoni;;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/5027/0
Iberolacerta aranica;Aran Rock Lizard;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61512/0
Parachondrostoma turiense;;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/60827/0
Lithodora nitida;;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61662/0
Bythinella carinulata;;Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/3385/0
Pyrrhula murina;Azores Bullfinch;Endangered;;http://www.iucnredlist.org/apps/redlist/details/149596/0
Centaurea gymnocarpa;;Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/61620/0
Acipenser gueldenstaedtii;Russian Sturgeon;Endangered;;http://www.iucnredlist.org/apps/redlist/details/247/0
Ribes sardoum;Sardinian Currant;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61675/0
Anaglyptus praecellens;;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/157893/0
Jasione mansanetiana;;Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/61627/0
Barbus euboicus;Petropsaro;Critically Endangered;Stable;http://www.iucnredlist.org/apps/redlist/details/2576/0
Kerkia kusceri;;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/156118/0
Cobitis arachthosensis;;Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/61290/0
Bythiospeum tschapecki;;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/3411/0
Narcissus bugei;;Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/61601/0
Pelasgus prespensis;;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61259/0
Medicago citrina;;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61653/0
Squalius lucumonis;;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/60828/0
Iberochondrostoma almacai;Mira Pardelha;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/135497/0
Hucho hucho;Danube Salmon;Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/10264/0
Numenius borealis;Eskimo Curlew;Critically Endangered;;http://www.iucnredlist.org/apps/redlist/details/143989/0
Anchusa crispa;;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61654/0
Parabythinella malaprespensis;;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/155626/0
Anguilla anguilla;European Eel;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/60344/0
Mobula mobular;Giant Devilray;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/39418/0
Valencia letourneuxi;;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/22830/0
Pisidium maasseni;;Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/155655/0
Sisymbrella dentata;;Endangered;Stable;http://www.iucnredlist.org/apps/redlist/details/164363/0
Heleobia foxianensis;;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/155527/0
Trichoferus bergeri;;Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/157771/0
Alzoniella delmastroi;;Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/164864/0
Grossuana thracica;;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/172038/0
Scardinius racovitzai;;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/19948/0
Bythinella cylindrica;;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/3393/0
Silene diclinis;;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61640/0
Knipowitschia milleri;;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/11029/0
Coregonus pennantii;Gwyniad;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/135518/0
Romanogobio benacensis;;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61343/0
Coregonus hoferi;Schwebrenke;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/135529/0
Silene sennenii;;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61644/0
Rutilus ylikiensis;;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/19788/0
Ampedus quadrisignatus;;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/157547/0
Salvelinus lonsdalii;;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/135417/0
Nyctalus azoreum;Azorean Bat;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/14922/0
Aquilegia nuragica;Nuragica Columbine;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61672/0
Echium acanthocarpum;;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61655/0
Belgrandiella multiformis;;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/156174/0
Pristis perotteti;Largetooth Sawfish;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/18176/0
Aethionema retsina;;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/61628/0
Limonium strictissimum;;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61667/0
Boyeria cretensis;Cretan Spectre;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/60307/0
Pelasgus epiroticus;;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/61256/0
Podarcis carbonelli;;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61545/0
Hauffenia kerschneri;;Vulnerable;Decreasing;http://www.iucnredlist.org/apps/redlist/details/12245/0
